const,age,games_played_perc,games_started_perc,minutes_played,avg_minutes_played,WS48,PER,team_successes,player_successes
1.0,32,0.8461538461538461,0.8461538461538461,2283,29.649,0.182,22.431,1,0
1.0,23,0.7804878048780488,0.6951219512195121,2006,31.344,0.12,17.4,0,0
1.0,25,0.9528301886792452,0.9528301886792452,2729,27.02,0.116,17.536,3,0
1.0,24,0.7735849056603774,0.0094339622641509,732,8.927,0.075,15.203,3,0
1.0,32,0.945054945054945,0.5274725274725275,2390,27.791,0.131,17.407,2,0
1.0,26,0.6262626262626263,0.1111111111111111,1025,16.532,0.052,10.2,2,0
1.0,31,0.9690721649484536,0.9690721649484536,2531,26.926,0.116,16.742,2,1
1.0,28,1.0,0.3780487804878049,1785,21.768,0.032,12.0,0,0
1.0,30,1.0,1.0,2312,28.195,0.11,13.2,0,0
1.0,25,0.8902439024390244,0.1341463414634146,1430,19.589,0.047,12.4,0,0
1.0,23,0.5609756097560976,0.2195121951219512,784,17.043,0.086,14.8,0,0
1.0,33,0.1585365853658536,0.0,192,14.769,0.075,9.2,0,0
1.0,35,1.0,0.0958904109589041,2009,27.521,0.077,16.834,1,0
1.0,32,0.970873786407767,0.8543689320388349,2700,27.0,0.084,11.554,3,0
1.0,25,0.7317073170731707,0.1219512195121951,1188,19.8,0.028,12.0,0,0
1.0,25,0.9090909090909092,0.9090909090909092,3033,37.912,0.131,17.23,1,0
1.0,24,0.8292682926829268,0.2682926829268293,1287,18.926,0.063,11.9,0,0
1.0,29,0.7980769230769231,0.173076923076923,1451,17.482,0.2,21.151,5,0
1.0,29,0.3536585365853658,0.2682926829268293,785,27.069,0.055,16.6,0,0
1.0,25,0.6463414634146342,0.2195121951219512,539,10.17,0.027,9.6,0,0
1.0,26,0.9634146341463414,0.2804878048780488,1295,16.392,0.111,12.5,0,0
1.0,25,0.9042553191489362,0.2765957446808511,1811,21.306,0.158,19.24,1,0
1.0,22,0.5151515151515151,0.0757575757575757,517,15.206,0.102,17.6,0,0
1.0,31,0.9305555555555556,0.25,1333,19.896,0.065,10.6,0,0
1.0,25,0.8390804597701149,0.0459770114942528,2045,28.014,0.12,17.149,1,0
1.0,25,0.6951219512195121,0.0121951219512195,960,16.842,0.115,18.6,0,0
1.0,24,0.8902439024390244,0.3902439024390244,1399,19.164,0.072,14.5,0,0
1.0,28,0.6585365853658537,0.524390243902439,1700,31.481,0.037,12.8,0,0
1.0,22,0.2560975609756097,0.0,244,11.619,0.098,10.4,2,0
1.0,29,0.9772727272727272,0.9772727272727272,3022,35.14,0.097,16.94,1,0
1.0,23,0.3902439024390244,0.0,368,11.5,0.052,11.0,0,0
