const,ID,season,age,games_played_perc,games_started_perc,minutes_played,avg_minutes_played,WS48,PER,team_won_finals,team_lost_finals,team_lost_semifinals,team_lost_first_match,most_improved,most_valuable,most_valuable_finals,sixth_man,all_league
1.0,allenma01,2008,29.0,0.8735632183908046,0.1839080459770115,1114.0,14.658,0.044,9.693,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,greenja01,2022,31.0,0.8275862068965517,0.09195402298850575,1154.0,16.028,0.119,14.526,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,brownde04,2011,23.0,0.5975609756097561,0.012195121951219513,576.0,11.755,0.083,12.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,collini01,2015,34.0,0.8048780487804879,0.024390243902439025,1101.0,16.682,0.096,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,robindu01,2021,26.0,1.0,1.0,2362.0,31.079,0.079,11.398,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,jacksre01,2021,30.0,0.945054945054945,0.6593406593406593,2166.0,25.186,0.115,21.169,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,whiteha01,2016,26.0,0.8645833333333334,0.5520833333333334,2416.0,29.108,0.233,28.928,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,harrial01,2002,21.0,0.5365853658536586,0.012195121951219513,1313.0,29.841,0.095,14.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,millspa01,2021,35.0,0.7926829268292683,0.43902439024390244,1271.0,19.554,0.132,18.117,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,jamisan01,2013,36.0,0.9302325581395349,0.06976744186046512,1715.0,21.438,0.126,15.783,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,smithjr01,2015,29.0,0.8627450980392157,0.5392156862745098,2640.0,30.0,0.085,17.235,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,paulch01,2009,23.0,0.9540229885057471,0.9540229885057471,3203.0,38.59,0.293,31.078,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,walkeke02,2021,30.0,0.5974025974025974,0.5974025974025974,1460.0,31.739,0.116,17.986,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,jefferi01,2015,34.0,0.896551724137931,0.22988505747126436,1295.0,16.603,0.089,11.443,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,pricero01,2015,31.0,0.524390243902439,0.24390243902439024,982.0,22.837,0.034,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,pricero01,2012,28.0,0.5454545454545454,0.12121212121212122,517.0,14.361,0.009,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,diawbo01,2014,31.0,0.9714285714285714,0.2571428571428571,2578.0,25.275,0.119,18.781,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,hayesch01,2011,27.0,0.9024390243902439,0.7682926829268293,2079.0,28.095,0.145,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,mcrobjo01,2013,25.0,0.8170731707317073,0.2682926829268293,1487.0,22.194,0.071,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,bennean01,2015,21.0,0.6951219512195121,0.036585365853658534,894.0,15.684,0.016,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,sefolth01,2017,32.0,0.75,0.4772727272727273,1605.0,24.318,0.099,11.855,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,noahjo01,2016,30.0,0.35365853658536583,0.024390243902439025,635.0,21.897,0.083,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,leonaka01,2019,27.0,0.7924528301886793,0.7924528301886793,2979.0,35.464,0.224,38.642,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1.0,caulewi01,2021,27.0,0.7468354430379747,0.20253164556962025,969.0,16.424,0.148,15.274,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,anderch01,2009,30.0,0.8775510204081632,0.01020408163265306,1788.0,20.791,0.178,22.234,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,greenge01,2008,22.0,0.36585365853658536,0.0,362.0,12.067,-0.053,8.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,greenja01,2021,30.0,0.8292682926829268,0.06097560975609756,1310.0,19.265,0.111,15.771,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,mayssk01,2022,24.0,0.3448275862068966,0.05747126436781609,229.0,7.633,0.065,12.461,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,davisgl01,2011,25.0,0.9560439560439561,0.14285714285714285,2489.0,28.609,0.102,13.232,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,nashst01,2010,35.0,0.9897959183673469,0.9897959183673469,3199.0,32.979,0.179,26.139,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,sextoco01,2022,23.0,0.13414634146341464,0.13414634146341464,316.0,28.727,-0.015,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,belinma01,2017,30.0,0.9024390243902439,0.0,1778.0,24.027,0.086,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,leeda02,2016,32.0,0.6551724137931034,0.05747126436781609,936.0,16.421,0.159,20.115,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,lawac01,2010,25.0,0.3170731707317073,0.012195121951219513,234.0,9.0,0.123,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,jamisan01,2002,25.0,1.0,1.0,3033.0,36.988,0.101,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,baldwwa01,2017,20.0,0.4090909090909091,0.011363636363636364,417.0,11.583,-0.036,6.888,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,stoudam01,2010,27.0,1.0,1.0,3422.0,34.918,0.181,26.963,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,dinwisp01,2018,24.0,0.975609756097561,0.7073170731707317,2306.0,28.825,0.119,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,rondora01,2018,31.0,0.8131868131868132,0.7912087912087912,2007.0,27.122,0.101,18.063,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,paytoga01,2004,35.0,1.0,1.0,3597.0,34.587,0.138,20.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,millean02,2009,32.0,1.0,1.0,3234.0,36.75,0.142,20.169,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,korveky01,2017,35.0,0.85,0.22,2079.0,24.459,0.101,13.997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,allenma01,2003,24.0,0.975609756097561,0.8902439024390244,2318.0,28.975,0.019,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,millspa01,2013,27.0,0.9512195121951219,0.9512195121951219,2375.0,30.449,0.154,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,bembrde01,2021,26.0,0.7083333333333334,0.16666666666666666,972.0,19.059,0.059,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,harteis01,2021,22.0,0.6388888888888888,0.027777777777777776,559.0,12.152,0.137,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,gabriwe01,2020,22.0,0.43037974683544306,0.0379746835443038,288.0,8.471,0.041,12.712,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
