Season,Player,ID
2022-23,Jaren Jackson Jr.,jacksja02
2021-22,Marcus Smart,smartma01
2020-21,Rudy Gobert,goberru01
2019-20,Giannis Antetokounmpo,antetgi01
2018-19,Rudy Gobert,goberru01
2017-18,Rudy Gobert,goberru01
2016-17,Draymond Green,greendr01
2015-16,Kawhi Leonard,leonaka01
2014-15,Kawhi Leonard,leonaka01
2013-14,Joakim Noah,noahjo01
2012-13,Marc Gasol,gasolma01
2011-12,Tyson Chandler,chandty01
2010-11,Dwight Howard,howardw01
2009-10,Dwight Howard,howardw01
2008-09,Dwight Howard,howardw01
2007-08,Kevin Garnett,garneke01
2006-07,Marcus Camby,cambyma01
2005-06,Ben Wallace,wallabe01
2004-05,Ben Wallace,wallabe01
2003-04,Metta World Peace,artesro01
2002-03,Ben Wallace,wallabe01
2001-02,Ben Wallace,wallabe01
2000-01,Dikembe Mutombo,mutomdi01
