ID,salary_perc,age,games_played_perc,games_started_perc,minutes_played,avg_minutes_played,WS48,PER,team_successes,player_successes,WS
webbech01,0.3,27,0.8666666666666667,0.8666666666666667,3184,40.821,0.186,26.492,1,2,12.338000000000001
smithjo02,0.107,25,0.8414634146341463,0.7195121951219512,1941,28.13,0.109,14.6,0,0,4.4076875
olajuha01,0.119,38,0.7073170731707317,0.6707317073170732,1545,26.638,0.155,20.7,0,0,4.9890625
robinda01,0.224,35,0.9789473684210527,0.9789473684210527,2780,29.892,0.245,27.926,2,2,14.189583333333333
mutomdi01,0.337,34,0.9333333333333333,0.9333333333333333,3572,36.449,0.15,24.959,3,5,11.1625
ewingpa01,0.05,38,0.9634146341463414,0.9634146341463414,2107,26.671,0.046,12.9,0,0,2.0192083333333333
grantho01,0.057,35,0.9489795918367347,0.9489795918367347,2813,30.247,0.131,16.229,5,0,7.677145833333334
alstora01,0.015,24,0.42,0.02,296,7.048,0.05,11.706,2,0,0.30833333333333335
jacksst02,0.014,22,0.9390243902439024,0.4878048780487805,1660,21.558,0.026,12.1,0,0,0.8991666666666666
houstal01,0.3,29,0.9540229885057471,0.9540229885057471,3047,36.711,0.126,17.449,1,0,7.998375
finlemi01,0.25,27,1.0,1.0,3877,42.141,0.119,19.927,1,0,9.611729166666667
cardibr01,0.011,23,0.18292682926829268,0.0,126,8.4,0.0,4.7,0,0,0.0
mohamna01,0.106,23,0.7073170731707317,0.2682926829268293,912,15.724,0.132,19.2,0,0,2.508
najered01,0.076,25,0.7777777777777778,0.16666666666666666,1479,21.129,0.141,15.762,1,0,4.344562499999999
arroyca01,0.014,22,0.45121951219512196,0.012195121951219513,371,10.027,0.052,12.4,0,0,0.40191666666666664
jamisan01,0.25,25,1.0,1.0,3033,36.988,0.101,17.1,0,0,6.3819375
hughela01,0.113,23,0.8902439024390244,0.6829268292682927,2049,28.068,0.056,15.4,0,0,2.3905
cartevi01,0.25,25,0.7317073170731707,0.7317073170731707,2385,39.75,0.141,20.5,1,0,7.005937499999999
houseed01,0.016,23,0.7804878048780488,0.036585365853658534,1230,19.219,0.035,11.6,0,0,0.8968750000000001
billuch01,0.113,25,1.0,0.6705882352941176,2489,29.282,0.155,18.545,1,0,8.037395833333333
piercpa01,0.25,24,1.0,1.0,3974,40.551,0.188,26.594,2,2,15.564833333333333
alstora01,0.001,25,0.6097560975609756,0.08536585365853659,600,12.0,0.056,13.9,0,0,0.7000000000000001
harrial01,0.126,21,0.5365853658536586,0.012195121951219513,1313,29.841,0.095,14.3,1,0,2.5986458333333333
bibbymi01,0.211,23,0.9795918367346939,0.9795918367346939,3320,34.583,0.114,19.424,2,0,7.885000000000001
bellra01,0.015,25,0.8850574712643678,0.13793103448275862,898,11.662,0.059,8.658,1,0,1.1037916666666667
reddmi01,0.074,22,0.8170731707317073,0.0975609756097561,1417,21.149,0.156,20.0,0,0,4.60525
nowitdi01,0.25,23,0.9333333333333333,0.9333333333333333,3248,38.667,0.222,27.162,1,2,15.022
cassesa01,0.12,32,0.9024390243902439,0.8902439024390244,2605,35.203,0.158,21.3,0,0,8.574791666666668
watsoea01,0.03,22,0.7804878048780488,0.0,964,15.062,0.075,11.6,1,0,1.5062499999999999
anderch01,0.015,24,0.7195121951219512,0.036585365853658534,907,15.373,0.058,14.0,0,0,1.0959583333333334
davisba01,0.25,23,0.625,0.5909090909090909,2083,37.873,0.114,19.077,1,0,4.947125000000001
robincl02,0.107,36,0.98989898989899,0.8686868686868687,3350,34.184,0.075,14.091,2,0,5.234375
arroyca01,0.018,23,0.5402298850574713,0.0,314,6.681,0.05,15.426,1,0,0.32708333333333334
duncati01,0.289,26,0.9905660377358491,0.9905660377358491,4202,40.019,0.249,36.015,5,12,21.797875
brandel01,0.25,23,0.7560975609756098,0.7439024390243902,2454,39.581,0.149,21.7,0,0,7.617624999999999
smithjo02,0.124,27,0.6704545454545454,0.25,1157,19.61,0.129,14.586,1,0,3.1094375000000003
terryja01,0.19,25,0.9878048780487805,0.9878048780487805,3081,38.037,0.115,18.2,0,0,7.3815625
houseed01,0.017,24,0.6707317073170732,0.08536585365853659,1025,18.636,0.033,12.1,0,0,0.7046875
paytoga01,0.112,34,0.9772727272727273,0.9772727272727273,3459,40.221,0.136,22.399,1,0,9.800500000000001
mariosh01,0.25,24,0.9886363636363636,0.9886363636363636,3655,42.011,0.185,22.654,1,0,14.086979166666666
alstora01,0.016,26,0.573170731707317,0.04878048780487805,980,20.851,0.059,14.4,0,0,1.2045833333333333
howarju01,0.112,29,0.9390243902439024,0.9390243902439024,2730,35.455,0.105,17.2,0,0,5.971875
arenagi01,0.195,21,1.0,1.0,2866,34.951,0.109,18.6,0,1,6.508208333333333
evansre01,0.016,22,0.8170731707317073,0.7317073170731707,1365,20.373,0.105,10.4,0,0,2.9859375
maggeco01,0.16,23,0.7804878048780488,0.6951219512195121,2006,31.344,0.12,17.4,0,0,5.015
millean02,0.182,26,0.975609756097561,0.975609756097561,2913,36.412,0.076,15.2,0,0,4.61225
artesro01,0.125,23,0.8522727272727273,0.8295454545454546,2569,34.253,0.149,19.34,1,1,7.9746041666666665
onealje01,0.3,24,0.9431818181818182,0.9318181818181818,3136,37.783,0.176,23.499,1,2,11.498666666666665
fosteje01,0.091,26,0.9431818181818182,0.022727272727272728,840,10.12,0.096,13.004,1,0,1.68
jacksst02,0.023,24,0.9811320754716981,0.7735849056603774,3065,29.471,0.102,18.818,5,0,6.513125
odomla01,0.227,23,0.5975609756097561,0.573170731707317,1679,34.265,0.063,14.6,0,0,2.2036875
kiddja01,0.3,29,0.9803921568627451,0.9803921568627451,3841,38.41,0.181,27.673,3,3,14.483770833333333
richaqu01,0.041,22,0.7195121951219512,0.15853658536585366,1368,23.186,0.035,12.5,0,0,0.9975
scalabr01,0.018,24,0.6470588235294118,0.06862745098039216,744,11.273,0.066,9.002,3,0,1.023
bellra01,0.016,26,0.9019607843137255,0.38235294117647056,1478,16.065,0.07,11.514,2,0,2.155416666666667
onealsh01,0.565,30,0.8404255319148937,0.8297872340425532,3016,38.177,0.25,35.306,1,3,15.708333333333334
allenma01,0.034,24,0.975609756097561,0.8902439024390244,2318,28.975,0.019,9.9,0,0,0.9175416666666667
hamilri01,0.148,24,1.0,1.0,3299,33.323,0.133,22.894,2,0,9.140979166666666
lewisra02,0.16,23,0.9390243902439024,0.9390243902439024,3044,39.532,0.123,16.7,0,0,7.800249999999999
poseyja01,0.112,26,1.0,0.8658536585365854,2518,30.337,0.103,13.5,0,0,5.403208333333333
pippesc01,0.112,37,0.7640449438202247,0.6629213483146067,1986,29.206,0.095,15.673,1,0,3.9306250000000005
millebr01,0.16,26,0.8977272727272727,0.8863636363636364,2405,30.443,0.203,20.257,1,0,10.171145833333334
malonka01,0.034,39,0.9885057471264368,0.9885057471264368,3127,36.36,0.181,22.676,1,0,11.791395833333333
anderch01,0.036,25,0.8735632183908046,0.0,1063,13.987,0.112,14.849,1,0,2.4803333333333333
