game,winner,loser
Finals,San Antonio Spurs,Miami Heat
Conference Finals,Miami Heat,Indiana Pacers
Conference Finals,San Antonio Spurs,Oklahoma City Thunder
Conference Semifinals,Indiana Pacers,Washington Wizards
Conference Semifinals,Miami Heat,Brooklyn Nets
Conference Semifinals,Oklahoma City Thunder,Los Angeles Clippers
Conference Semifinals,San Antonio Spurs,Portland Trail Blazers
Conference First Round,Brooklyn Nets,Toronto Raptors
Conference First Round,Indiana Pacers,Atlanta Hawks
Conference First Round,Miami Heat,Charlotte Bobcats
Conference First Round,Washington Wizards,Chicago Bulls
Conference First Round,Los Angeles Clippers,Golden State Warriors
Conference First Round,Oklahoma City Thunder,Memphis Grizzlies
Conference First Round,Portland Trail Blazers,Houston Rockets
Conference First Round,San Antonio Spurs,Dallas Mavericks
