player,season,contract_length
Klay Thompson,2020,5
Tobias Harris,2020,5
Khris Middleton,2020,5
James Harden,2020,4
John Wall,2020,4
Kevin Durant,2020,4
Karl-Anthony Towns,2020,5
Devin Booker,2020,5
Kristaps Porzingis,2020,5
Kemba Walker,2020,4
Jimmy Butler,2020,4
Kyrie Irving,2020,4
Kevin Love,2020,4
D'Angelo Russell,2020,4
Al Horford,2020,4
Kawhi Leonard,2020,3
Nikola Vucevic,2020,4
Harrison Barnes,2020,4
Malcolm Brogdon,2020,4
Myles Turner,2020,4
Bojan Bogdanovic,2020,4
Eric Bledsoe,2020,4
Julius Randle,2020,3
Terry Rozier,2020,3
Terrence Ross,2020,4
Brook Lopez,2020,4
Ricky Rubio,2020,3
LaMarcus Aldridge,2020,2
Jonas Valanciunas,2020,3
Larry Nance Jr.,2020,4
Zion Williamson,2020,4
Thaddeus Young,2020,3
Dewayne Dedmon,2020,3
Patrick Beverley,2020,3
DeAndre Jordan,2020,4
Ja Morant,2020,4
Cory Joseph,2020,3
Maxi Kleber,2020,4
R.J. Barrett,2020,4
Spencer Dinwiddie,2020,3
De'Andre Hunter,2020,4
Rudy Gay,2020,2
Seth Curry,2020,4
Jeremy Lamb,2020,3
Kelly Oubre Jr.,2020,2
Danny Green,2020,2
Tomas Satoransky,2020,3
Al-Farouq Aminu,2020,3
Darius Garland,2020,4
George Hill,2020,3
Delon Wright,2020,3
J.J. Redick,2020,2
Tyus Jones,2020,3
Jarrett Culver,2020,4
Justise Winslow,2020,2
Trevor Ariza,2020,2
Thomas Bryant,2020,3
Coby White,2020,4
Jaxson Hayes,2020,4
Ivica Zubac,2020,3
DeMarre Carroll,2020,3
Rui Hachimura,2020,4
Nene Hilario,2020,2
Taj Gibson,2020,2
Cam Reddish,2020,4
Cameron Johnson,2020,4
Tyler Herro,2020,4
Kentavious Caldwell-Pope,2020,2
Romeo Langford,2020,4
Wayne Ellington,2020,2
Elfrid Payton,2020,2
Sekou Doumbouya,2020,4
Rodney McGruder,2020,3
Marcus Morris Sr.,2020,1
Derrick Rose,2020,2
Bobby Portis,2020,1
Kevon Looney,2020,3
Nickeil Alexander-Walker,2020,4
Darius Miller,2020,2
Goga Bitadze,2020,4
Luka Samanic,2020,4
Jabari Parker,2020,2
Matisse Thybulle,2020,4
Brandon Clarke,2020,4
PJ Washington,2020,4
Dorian Finney-Smith,2020,3
Ishmael Smith,2020,2
Grant Williams,2020,4
Rodney Hood,2020,2
Darius Bazley,2020,4
Jake Layman,2020,3
Danuel House Jr.,2020,3
Ty Jerome,2020,4
Trey Lyles,2020,2
Nassir Little,2020,4
Dylan Windler,2020,4
Mfiondu Kabengele,2020,4
Jordan Poole,2020,4
Keldon Johnson,2020,4
Daniel Theis,2020,2
Mike Scott,2020,2
Richaun Holmes,2020,2
JaMychal Green,2020,2
Avery Bradley,2020,2
Ed Davis,2020,2
Robin Lopez,2020,2
Enes Freedom,2020,2
Reggie Bullock,2020,2
JaVale McGee,2020,2
Kevin Porter Jr.,2020,4
Patrick McCaw,2020,2
Nicolo Melli,2020,2
Stanley Johnson,2020,2
Boban Marjanovic,2020,2
T.J. McConnell,2020,2
Isaiah Roby,2020,4
Jaylen Nowell,2020,4
Markieff Morris,2020,1
Edmond Sumner,2020,3
Daniel Gafford,2020,4
Alen Smailagic,2020,4
Naz Reid,2020,4
Jalen McDaniels,2020,4
Khem Birch,2020,2
Ryan Arcidiacono,2020,2
Quinn Cook,2020,2
Alex Caruso,2020,2
Marko Guduric,2020,2
Wesley Matthews,2020,2
Rajon Rondo,2020,2
Vincent Poirier,2020,2
Shake Milton,2020,3
Nigel Williams-Goss,2020,3
Frank Kaminsky,2020,1
Garrett Temple,2020,1
Justin Holiday,2020,1
Bruno Fernando,2020,3
Austin Rivers,2020,2
Carsen Edwards,2020,3
Luke Kornet,2020,2
Cody Martin,2020,3
Willie Cauley-Stein,2020,2
Ben McLemore,2020,2
Mike Muscala,2020,2
Terance Mann,2020,3
Admiral Schofield,2020,3
KZ Okpala,2020,3
Matt Thomas,2020,3
Justin Robinson,2020,3
Jalen Lecque,2020,3
Justin James,2020,3
Caleb Martin,2020,3
Nicolas Claxton,2020,3
Vlatko Cancar,2020,3
Stanton Kidd,2020,3
William Howard,2020,3
Dewan Hernandez,2020,3
Miye Oni,2020,3
Eric Paschall,2020,3
James Ennis III,2020,2
Cameron Payne,2020,2
Mario Hezonja,2020,2
Dragan Bender,2020,2
David Nwaba,2020,2
DeMarcus Cousins,2020,1
Furkan Korkmaz,2020,2
Tyler Lydon,2020,2
Isaiah Taylor,2020,2
Amile Jefferson,2020,2
Thanasis Antetokounmpo,2020,2
Joe Johnson,2020,1
Anthony Tolliver,2020,1
Jose Barea,2020,1
Thabo Sefolosha,2020,1
Jared Dudley,2020,1
Wilson Chandler,2020,1
Jeff Green,2020,1
Gerald Green,2020,1
Vince Carter,2020,1
Tyson Chandler,2020,1
Udonis Haslem,2020,1
Ryan Anderson,2020,1
Pau Gasol,2020,1
Dwight Howard,2020,1
Kyle Korver,2020,1
Rondae Hollis-Jefferson,2020,1
Terence Davis,2020,2
Ignas Brazdeikis,2020,2
Talen Horton-Tucker,2020,2
Javonte Green,2020,2
Max Strus,2020,2
Patrick Patterson,2020,1
Isaiah Thomas,2020,1
Alec Burks,2020,1
Lance Thomas,2020,1
Tyler Zeller,2020,1
Chris Clemons,2020,2
Kyle O'Quinn,2020,1
Nerlens Noel,2020,1
Michael Carter-Williams,2020,1
Trey Burke,2020,1
Troy Daniels,2020,1
Noah Vonleh,2020,1
Tim Frazier,2020,1
Glenn Robinson III,2020,1
Emmanuel Mudiay,2020,1
Jared Cunningham,2020,1
Raul Neto,2020,1
