player,debut_season,contract_length
Zion Williamson,2020,4
Ja Morant,2020,4
R.J. Barrett,2020,4
De'Andre Hunter,2020,4
Darius Garland,2020,4
Jarrett Culver,2020,4
Coby White,2020,4
Jaxson Hayes,2020,4
Rui Hachimura,2020,4
Cam Reddish,2020,4
Cameron Johnson,2020,4
Tyler Herro,2020,4
Romeo Langford,2020,4
Sekou Doumbouya,2020,4
Nickeil Alexander-Walker,2020,4
Goga Bitadze,2020,4
Luka Samanic,2020,4
Matisse Thybulle,2020,4
Brandon Clarke,2020,4
PJ Washington,2020,4
Grant Williams,2020,4
Darius Bazley,2020,4
Ty Jerome,2020,4
Nassir Little,2020,4
Dylan Windler,2020,4
Mfiondu Kabengele,2020,4
Jordan Poole,2020,4
Keldon Johnson,2020,4
Kevin Porter Jr.,2020,4
Isaiah Roby,2020,4
Jaylen Nowell,2020,4
Daniel Gafford,2020,4
Alen Smailagic,2020,4
Nigel Williams-Goss,2020,3
Bruno Fernando,2020,3
Carsen Edwards,2020,3
Cody Martin,2020,3
Terance Mann,2020,3
Admiral Schofield,2020,3
KZ Okpala,2020,3
Justin James,2020,3
Nicolas Claxton,2020,3
Dewan Hernandez,2020,3
Miye Oni,2020,3
Eric Paschall,2020,3
Ignas Brazdeikis,2020,2
Talen Horton-Tucker,2020,2
