Season,Tm,Player1,Player2,Player3,Player4,Player5
2022-23,1st,Joel Embiid C,Giannis Antetokounmpo F,Jayson Tatum F,Luka Dončić G,Shai Gilgeous-Alexander G
2022-23,2nd,Nikola Jokić C,Jimmy Butler F,Jaylen Brown F,Donovan Mitchell G,Stephen Curry G
2022-23,3rd,Domantas Sabonis C,LeBron James F,Julius Randle F,De'Aaron Fox G,Damian Lillard G
2021-22,1st,Nikola Jokić C,Giannis Antetokounmpo F,Jayson Tatum F,Luka Dončić G,Devin Booker G
2021-22,2nd,Joel Embiid C,Kevin Durant F,DeMar DeRozan F,Ja Morant G,Stephen Curry G
2021-22,3rd,Karl-Anthony Towns C,LeBron James F,Pascal Siakam F,Chris Paul G,Trae Young G
2020-21,1st,Nikola Jokić C,Giannis Antetokounmpo F,Kawhi Leonard F,Stephen Curry G,Luka Dončić G
2020-21,2nd,Joel Embiid C,Julius Randle F,LeBron James F,Chris Paul G,Damian Lillard G
2020-21,3rd,Rudy Gobert C,Jimmy Butler F,Paul George F,Bradley Beal G,Kyrie Irving G
2019-20,1st,Anthony Davis C,Giannis Antetokounmpo F,LeBron James F,James Harden G,Luka Dončić G
2019-20,2nd,Nikola Jokić C,Kawhi Leonard F,Pascal Siakam F,Damian Lillard G,Chris Paul G
2019-20,3rd,Rudy Gobert C,Jayson Tatum F,Jimmy Butler F,Ben Simmons G,Russell Westbrook G
2018-19,1st,Nikola Jokić C,Giannis Antetokounmpo F,Paul George F,James Harden G,Stephen Curry G
2018-19,2nd,Joel Embiid C,Kevin Durant F,Kawhi Leonard F,Damian Lillard G,Kyrie Irving G
2018-19,3rd,Rudy Gobert C,LeBron James F,Blake Griffin F,Kemba Walker G,Russell Westbrook G
2017-18,1st,Anthony Davis C,LeBron James F,Kevin Durant F,Damian Lillard G,James Harden G
2017-18,2nd,Joel Embiid C,Giannis Antetokounmpo F,LaMarcus Aldridge F,Russell Westbrook G,DeMar DeRozan G
2017-18,3rd,Karl-Anthony Towns C,Jimmy Butler F,Paul George F,Stephen Curry G,Victor Oladipo G
2016-17,1st,Anthony Davis C,LeBron James F,Kawhi Leonard F,James Harden G,Russell Westbrook G
2016-17,2nd,Rudy Gobert C,Giannis Antetokounmpo F,Kevin Durant F,Stephen Curry G,Isaiah Thomas G
2016-17,3rd,DeAndre Jordan C,Draymond Green F,Jimmy Butler F,John Wall G,DeMar DeRozan G
2015-16,1st,DeAndre Jordan C,LeBron James F,Kawhi Leonard F,Stephen Curry G,Russell Westbrook G
2015-16,2nd,DeMarcus Cousins C,Kevin Durant F,Draymond Green F,Chris Paul G,Damian Lillard G
2015-16,3rd,Andre Drummond C,Paul George F,LaMarcus Aldridge F,Klay Thompson G,Kyle Lowry G
2014-15,1st,Marc Gasol C,LeBron James F,Anthony Davis F,Stephen Curry G,James Harden G
2014-15,2nd,DeMarcus Cousins C,Pau Gasol C,LaMarcus Aldridge F,Russell Westbrook G,Chris Paul G
2014-15,3rd,DeAndre Jordan C,Blake Griffin F,Tim Duncan F,Klay Thompson G,Kyrie Irving G
2013-14,1st,Joakim Noah C,Kevin Durant F,LeBron James F,James Harden G,Chris Paul G
2013-14,2nd,Dwight Howard C,Blake Griffin F,Kevin Love F,Stephen Curry G,Tony Parker G
2013-14,3rd,Al Jefferson C,Paul George F,LaMarcus Aldridge F,Goran Dragić G,Damian Lillard G
2012-13,1st,Tim Duncan C,Kevin Durant F,LeBron James F,Kobe Bryant G,Chris Paul G
2012-13,2nd,Marc Gasol C,Carmelo Anthony F,Blake Griffin F,Tony Parker G,Russell Westbrook G
2012-13,3rd,Dwight Howard C,Paul George F,David Lee F,James Harden G,Dwyane Wade G
2011-12,1st,Dwight Howard C,Kevin Durant F,LeBron James F,Kobe Bryant G,Chris Paul G
2011-12,2nd,Andrew Bynum C,Blake Griffin F,Kevin Love F,Tony Parker G,Russell Westbrook G
2011-12,3rd,Tyson Chandler C,Carmelo Anthony F,Dirk Nowitzki F,Rajon Rondo G,Dwyane Wade G
2010-11,1st,Dwight Howard C,Kevin Durant F,LeBron James F,Kobe Bryant G,Derrick Rose G
2010-11,2nd,Amar'e Stoudemire C,Pau Gasol F,Dirk Nowitzki F,Dwyane Wade G,Russell Westbrook G
2010-11,3rd,Al Horford C,LaMarcus Aldridge F,Zach Randolph F,Manu Ginóbili G,Chris Paul G
2009-10,1st,Dwight Howard C,Kevin Durant F,LeBron James F,Kobe Bryant G,Dwyane Wade G
