Season,Player,ID
2022-23,Lauri Markkanen,markkla01
2021-22,Ja Morant,moranja01
2020-21,Julius Randle,randlju01
2019-20,Brandon Ingram,ingrabr01
2018-19,Pascal Siakam,siakapa01
2017-18,Victor Oladipo,oladivi01
2016-17,Giannis Antetokounmpo,antetgi01
2015-16,CJ McCollum,mccolcj01
2014-15,Jimmy Butler,butleji01
2013-14,Goran Dragić,dragigo01
2012-13,Paul George,georgpa01
2011-12,Ryan Anderson,anderry01
2010-11,Kevin Love,loveke01
2009-10,Aaron Brooks,brookaa01
2008-09,Danny Granger,grangda01
2007-08,Hedo Türkoğlu,turkohe01
2006-07,Monta Ellis,ellismo01
2005-06,Boris Diaw,diawbo01
2004-05,Bobby Simmons,simmobo01
2003-04,Zach Randolph,randoza01
2002-03,Gilbert Arenas,arenagi01
2001-02,Jermaine O'Neal,onealje01
2000-01,Tracy McGrady,mcgratr01
