Season,Player,ID
2022-23,Joel Embiid,embiijo01
2021-22,Nikola Jokić,jokicni01
2020-21,Nikola Jokić,jokicni01
2019-20,Giannis Antetokounmpo,antetgi01
2018-19,Giannis Antetokounmpo,antetgi01
2017-18,James Harden,hardeja01
2016-17,Russell Westbrook,westbru01
2015-16,Stephen Curry,curryst01
2014-15,Stephen Curry,curryst01
2013-14,Kevin Durant,duranke01
2012-13,LeBron James,jamesle01
2011-12,LeBron James,jamesle01
2010-11,Derrick Rose,rosede01
2009-10,LeBron James,jamesle01
2008-09,LeBron James,jamesle01
2007-08,Kobe Bryant,bryanko01
2006-07,Dirk Nowitzki,nowitdi01
2005-06,Steve Nash,nashst01
2004-05,Steve Nash,nashst01
2003-04,Kevin Garnett,garneke01
2002-03,Tim Duncan,duncati01
2001-02,Tim Duncan,duncati01
2000-01,Allen Iverson,iversal01
