Season,Player,ID
2022-23,Nikola Jokić,jokicni01
2021-22,Stephen Curry,curryst01
2020-21,Giannis Antetokounmpo,antetgi01
2019-20,LeBron James,jamesle01
2018-19,Kawhi Leonard,leonaka01
2017-18,Kevin Durant,duranke01
2016-17,Kevin Durant,duranke01
2015-16,LeBron James,jamesle01
2014-15,Andre Iguodala,iguodan01
2013-14,Kawhi Leonard,leonaka01
2012-13,LeBron James,jamesle01
2011-12,LeBron James,jamesle01
2010-11,Dirk Nowitzki,nowitdi01
2009-10,Kobe Bryant,bryanko01
2008-09,Kobe Bryant,bryanko01
2007-08,Paul Pierce,piercpa01
2006-07,Tony Parker,parketo01
2005-06,Dwyane Wade,wadedw01
2004-05,Tim Duncan,duncati01
2003-04,Chauncey Billups,billuch01
2002-03,Tim Duncan,duncati01
2001-02,Shaquille O'Neal,onealsh01
2000-01,Shaquille O'Neal,onealsh01
