Season,Player,ID
2022-23,Malcolm Brogdon,brogdma01
2021-22,Tyler Herro,herroty01
2020-21,Jordan Clarkson,clarkjo01
2019-20,Montrezl Harrell,harremo01
2018-19,Lou Williams,willilo02
2017-18,Lou Williams,willilo02
2016-17,Eric Gordon,gordoer01
2015-16,Jamal Crawford,crawfja01
2014-15,Lou Williams,willilo02
2013-14,Jamal Crawford,crawfja01
2012-13,J.R. Smith,smithjr01
2011-12,James Harden,hardeja01
2010-11,Lamar Odom,odomla01
2009-10,Jamal Crawford,crawfja01
2008-09,Jason Terry,terryja01
2007-08,Manu Ginóbili,ginobma01
2006-07,Leandro Barbosa,barbole01
2005-06,Mike Miller,millemi01
2004-05,Ben Gordon,gordobe01
2003-04,Antawn Jamison,jamisan01
2002-03,Bobby Jackson,jacksbo01
2001-02,Corliss Williamson,willico02
2000-01,Aaron McKie,mckieaa01
