PLAYER;2006/07
Kevin Garnett;$21,000,000
Shaquille O'Neal;$20,000,000
Michael Finley;$19,030,999
Chris Webber;$18,261,024
Jermaine O'Neal;$18,084,000
Jason Kidd;$18,084,000
Kobe Bryant;$17,718,750
Tim Duncan;$17,429,672
Stephon Marbury;$17,184,375
Allen Iverson;$17,184,375
Grant Hill;$16,901,500
Tracy McGrady;$16,901,500
Brian Grant;$16,786,950
Jalen Rose;$16,141,500
Ben Wallace;$16,000,000
Eddie Jones;$15,395,472
Antawn Jamison;$15,101,625
Dirk Nowitzki;$15,101,625
Vince Carter;$15,101,625
Paul Pierce;$15,101,625
Shawn Marion;$15,070,000
Steve Francis;$15,070,000
Baron Davis;$15,070,000
Ray Allen;$14,611,570
Elton Brand;$14,248,000
Larry Hughes;$13,363,012
Michael Redd;$13,260,000
Joe Johnson;$12,744,189
Mike Bibby;$12,500,000
Amare Stoudemire;$12,455,000
Yao Ming;$12,455,000
Andrei Kirilenko;$12,364,000
Pau Gasol;$12,364,000
Lamar Odom;$12,348,596
Kenyon Martin;$12,068,182
Zach Randolph;$12,000,000
Wally Szczerbiak;$11,775,000
Theo Ratliff;$11,666,666
Rasheed Wallace;$11,650,000
Raef LaFrentz;$11,532,037
Carlos Boozer;$11,260,483
Richard Jefferson;$11,200,000
Gilbert Arenas;$11,096,800
Derek Anderson;$11,043,897
Predrag Stojakovic;$10,800,000
Steve Nash;$10,500,000
Jason Richardson;$9,999,999
Erick Dampier;$9,628,000
Brad Miller;$9,625,000
Samuel Dalembert;$9,464,307
Tony Parker;$9,450,000
Zydrunas Ilgauskas;$9,442,697
Rashard Lewis;$9,350,649
Jerry Stackhouse;$9,296,874
Richard Hamilton;$9,187,500
Tyson Chandler;$9,150,000
Marcus Camby;$8,800,000
Andre Miller;$8,733,333
Bobby Simmons;$8,640,000
Maurice Taylor;$8,565,918
PJ Brown;$8,560,000
Jamaal Magloire;$8,433,334
Kwame Brown;$8,287,500
Troy Murphy;$8,285,714
Manu Ginobili;$8,254,375
Mehmet Okur;$8,250,000
Jason Williams;$8,250,000
Eddy Curry;$8,171,103
Cuttino Mobley;$8,125,000
Adonal Foyle;$8,125,000
Jason Terry;$8,100,000
Aaron McKie;$8,070,874
Desmond Mason;$8,037,037
Nen?;$8,000,000
Tayshaun Prince;$7,851,240
Kurt Thomas;$7,821,482
Darius Miles;$7,750,000
Calvin Booth;$7,628,858
Al Harrington;$7,625,000
Mike Miller;$7,623,813
Antoine Walker;$7,606,820
Metta World Peace;$7,526,316
Quentin Richardson;$7,525,500
Malik Rose;$7,525,397
Mike Dunleavy;$7,438,016
Caron Butler;$7,438,000
Austin Croshere;$7,300,000
Mark Blount;$7,288,165
Radoslav Nesterovic;$7,280,000
Shandon Anderson;$7,244,726
Jamal Crawford;$7,200,000
Kenny Thomas;$7,187,500
Jerome Williams;$7,014,400
Corey Maggette;$7,000,000
Speedy Claxton;$6,854,546
Sam Cassell;$6,850,000
Joe Smith;$6,807,000
Ruben Patterson;$6,807,000
Alonzo Mourning;$6,725,433
Drew Gooden;$6,645,402
Danny Fortson;$6,596,990
Matt Harpring;$6,500,000
Corliss Williamson;$6,500,000
James Posey;$6,392,100
Juwan Howard;$6,392,100
Ricky Davis;$6,364,400
Chauncey Billups;$6,364,400
Chris Wilcox;$6,250,000
Stephen Jackson;$6,120,000
Eric Snow;$6,093,750
Etan Thomas;$5,883,600
Derek Fisher;$5,883,600
Hidayet Turkoglu;$5,883,600
Marquis Daniels;$5,883,600
Antonio McDyess;$5,883,600
Jamaal Tinsley;$5,850,000
LeBron James;$5,828,090
Jason Collins;$5,800,000
Tony Battie;$5,746,000
Donyell Marshall;$5,633,037
Troy Hudson;$5,603,000
Marko Jaric;$5,525,000
Udonis Haslem;$5,525,000
Gerald Wallace;$5,525,000
Jeff Foster;$5,500,000
Antonio Daniels;$5,400,000
Shareef Abdur-Rahim;$5,400,000
Earl Watson;$5,400,000
Jerome James;$5,400,000
Brian Skinner;$5,400,000
Stromile Swift;$5,400,000
Brian Cardinal;$5,400,000
Shane Battier;$5,393,300
Vin Baker;$5,329,555
Bobby Jackson;$5,259,000
Dan Gadzuric;$5,252,065
Darko Milicic;$5,218,622
Joel Przybilla;$5,215,000
Jared Jeffries;$5,215,000
Mike James;$5,215,000
Vladimir Radmanovic;$5,215,000
Tim Thomas;$5,215,000
Nazr Mohammed;$5,215,000
Greg Buckner;$5,182,074
Brent Barry;$5,117,880
Marc Jackson;$4,875,000
Dwight Howard;$4,806,720
Shawn Bradley;$4,800,000
Carmelo Anthony;$4,694,041
Andrew Bogut;$4,665,960
Alvin Williams;$4,587,508
Eduardo Najera;$4,571,428
Morris Peterson;$4,550,000
Andrea Bargnani;$4,501,200
Brendan Haywood;$4,500,000
Raja Bell;$4,500,000
John Salmons;$4,400,000
Brevin Knight;$4,400,000
Trenton Hassell;$4,350,000
Emeka Okafor;$4,300,560
Eric Williams;$4,296,000
Chris Bosh;$4,235,220
Chris Mihm;$4,214,241
Rafer Alston;$4,200,000
Marvin Williams;$4,174,800
Anthony Parker;$4,150,000
Carlos Arroyo;$4,100,000
Damon Stoudamire;$4,050,000
LaMarcus Aldridge;$4,027,320
Kyle Korver;$4,018,182
Gordan Giricek;$4,000,000
Sarunas Jasikevicius;$4,000,000
Reggie Evans;$4,000,000
Zaza Pachulia;$4,000,000
Andres Nocioni;$3,950,000
Damon Jones;$3,884,678
Ben Gordon;$3,862,080
Dwyane Wade;$3,841,443
Bob Sura;$3,840,000
Jorge Garbajosa;$3,750,000
Bruce Bowen;$3,750,000
Deron Williams;$3,749,040
Vitaly Potapenko;$3,674,584
Marcus Banks;$3,672,414
Darius Songaila;$3,650,000
Adam Morrison;$3,616,680
Jeff McInnis;$3,600,000
Pat Garrity;$3,525,000
Dale Davis;$3,500,000
Tyronn Lue;$3,500,000
Chris Kaman;$3,491,768
Shaun Livingston;$3,481,920
Chris Paul;$3,380,160
Keyon Dooling;$3,348,000
Robert Horry;$3,315,000
Melvin Ely;$3,303,813
Tyrus Thomas;$3,260,760
Lorenzen Wright;$3,250,000
Zeljko Rebraca;$3,240,000
Kevin Ollie;$3,196,050
Ira Newble;$3,196,050
Kirk Hinrich;$3,192,628
Devin Harris;$3,153,120
Fred Jones;$3,100,000
Trevor Ariza;$3,100,000
Raymond Felton;$3,060,840
Steven Hunter;$3,024,000
Chris Duhon;$3,024,000
Francisco Elson;$3,000,000
Rasual Butler;$3,000,000
Chucky Atkins;$3,000,000
Shelden Williams;$2,952,840
Earl Boykins;$2,950,000
TJ Ford;$2,929,467
Iakovos Tsakalidis;$2,900,000
Michael Doleac;$2,880,000
Josh Childress;$2,863,920
Willie Green;$2,800,000
Brian Scalabrine;$2,793,103
Martell Webster;$2,780,160
Dan Dickau;$2,753,218
Primoz Brezec;$2,750,000
Damien Wilkins;$2,700,000
Eddie Griffin;$2,700,000
Mike Sweetney;$2,696,956
Brandon Roy;$2,681,880
James Jones;$2,650,000
Anthony Johnson;$2,640,000
Jarron Collins;$2,625,698
Luol Deng;$2,614,440
Jarvis Hayes;$2,564,127
Juan Dixon;$2,550,000
Charlie Villanueva;$2,537,880
Mickael Pietrus;$2,535,260
Keith Bogans;$2,510,000
Nick Collison;$2,501,070
Fabricio Oberto;$2,500,000
Bostjan Nachbar;$2,500,000
Randy Foye;$2,448,240
Luke Ridnour;$2,425,878
Rafael Araujo;$2,395,200
Jose Calderon;$2,333,334
Channing Frye;$2,325,000
Lindsey Hunter;$2,250,000
Rudy Gay;$2,242,290
Mark Madsen;$2,210,000
Dikembe Mutombo;$2,210,000
Andre Iguodala;$2,201,640
Jackie Butler;$2,200,000
Scot Pollard;$2,200,000
Othella Harrington;$2,200,000
Zarko Cabarkapa;$2,157,097
Ike Diogu;$2,137,200
Luke Jackson;$2,131,981
Bonzi Wells;$2,115,000
Patrick O'Bryant;$2,061,720
David West;$2,051,938
Andrew Bynum;$2,030,280
Matt Bonner;$2,000,000
Jake Voskuhl;$2,000,000
DeSagana Diop;$1,998,000
Andris Biedrins;$1,986,960
Devean George;$1,974,259
Tariq Abdul-Wahad;$1,968,750
Aleksandar Pavlovic;$1,962,206
Saer Sene;$1,958,640
Jason Hart;$1,922,640
Maurice Williams;$1,920,000
Robert Swift;$1,887,600
Dahntay Jones;$1,886,113
Boris Diaw;$1,870,501
JJ Redick;$1,860,720
Travis Outlaw;$1,836,426
Yaroslav Korolev;$1,832,280
Brian Cook;$1,817,141
Michael Ruffin;$1,803,600
Malik Allen;$1,803,600
Vassilis Spanoulis;$1,800,000
Walter Herrmann;$1,800,000
Sebastian Telfair;$1,793,160
Hilton Armstrong;$1,767,600
Shammond Williams;$1,750,000
Aaron Williams;$1,750,000
Ronald Murray;$1,750,000
David Wesley;$1,750,000
Sean May;$1,740,720
Kris Humphries;$1,703,520
Kendrick Perkins;$1,689,409
Leandro Barbosa;$1,679,733
Thabo Sefolosha;$1,679,280
Josh Howard;$1,667,603
Rashad McCants;$1,653,720
Didier Ilunga-Mbenga;$1,628,959
Maurice Evans;$1,620,000
Al Jefferson;$1,618,320
Clifford Robinson;$1,600,000
Ronnie Brewer;$1,595,400
Antoine Wright;$1,570,920
Kirk Snyder;$1,537,440
Cedric Simmons;$1,515,480
Scott Padgett;$1,495,317
Joey Graham;$1,492,440
Adrian Griffin;$1,475,000
Josh Smith;$1,460,640
Rodney Carney;$1,439,760
Danny Granger;$1,417,800
Eddie House;$1,400,000
JR Smith;$1,387,560
Luke Walton;$1,375,000
Shawne Williams;$1,367,760
Keith McLeod;$1,350,000
Gerald Green;$1,347,000
Steve Blake;$1,330,000
Dorell Wright;$1,325,160
Justin Reed;$1,300,000
Hakim Warrick;$1,286,280
Jameer Nelson;$1,272,120
Quincy Douby;$1,240,920
Julius Hodge;$1,234,800
Renaldo Balkman;$1,191,240
Jason Kapono;$1,188,000
Matt Carroll;$1,188,000
Nate Robinson;$1,185,480
Alan Henderson;$1,178,348
Darrick Martin;$1,178,348
Eric Piatkowski;$1,178,348
Bo Outlaw;$1,178,348
Gary Payton;$1,178,348
Darrell Armstrong;$1,178,348
Viktor Khryapa;$1,172,400
Rajon Rondo;$1,143,600
Jarrett Jack;$1,137,960
Michael Olowokandi;$1,103,225
Marcus Williams;$1,097,880
Francisco Garcia;$1,092,600
Nenad Krstic;$1,080,480
Delonte West;$1,080,480
John Edwards;$1,080,000
Jacque Vaughn;$1,071,225
Kelvin Cato;$1,071,225
Mikki Moore;$1,071,225
Devin Brown;$1,064,518
Josh Boone;$1,053,960
Luther Head;$1,048,800
Carlos Delfino;$1,037,280
Tony Allen;$1,037,280
Kyle Lowry;$1,011,720
Johan Petro;$1,006,800
Kevin Martin;$1,002,840
Shavlik Randolph;$1,000,000
Jannero Pargo;$1,000,000
Bernard Robinson;$1,000,000
Jumaine Jones;$998,967
Ryan Bowen;$998,967
Sasha Vujacic;$973,920
Jason Maxiell;$973,440
Shannon Brown;$971,280
Beno Udrih;$967,920
David Harrison;$960,840
Anderson Varejao;$945,600
Linas Kleiza;$945,360
Jordan Farmar;$939,120
Wayne Simien;$932,760
DeShawn Stevenson;$932,015
Sean Marks;$932,015
David Lee;$926,040
Mario Kasun;$919,551
Sergio Rodriguez;$912,000
Maurice Ager;$906,480
Mardy Collins;$899,880
DerMarr Johnson;$865,063
Boniface N'Dong;$839,209
Alex Acker;$839,209
James White;$818,153
Pat Burke;$810,000
Mickael Gelabale;$802,000
Mile Ilic;$800,000
Mike Wilks;$798,112
Smush Parker;$798,112
James Lang;$771,331
Linton Johnson;$771,331
Quinton Ross;$771,331
Matt Barnes;$771,331
Dajuan Wagner;$771,331
Ronald Dupree;$771,331
Jamal Sampson;$771,331
Roger Mason;$744,551
Pape Sow;$744,551
Ime Udoka;$744,551
Ha Seung-Jin;$744,551
Charlie Bell;$744,551
Earl Barron;$744,551
Maceo Baston;$744,551
Josh Powell;$744,551
Andre Barrett;$744,551
Royal Ivey;$744,551
Salim Stoudamire;$729,000
John Lucas;$700,000
Andre Owens;$676,800
James Singleton;$675,000
Solomon Jones;$675,000
Donell Taylor;$664,209
Andray Blatche;$664,209
CJ Miles;$664,209
Ronnie Price;$664,209
Louis Williams;$664,209
Travis Diener;$664,209
Brandon Bass;$664,209
Bracey Wright;$664,209
Lynn Greer;$664,209
Ersan Ilyasova;$664,209
Lawrence Roberts;$664,209
Ronny Turiaf;$664,209
Daniel Ewing;$664,209
Rawle Marshall;$664,209
Orien Greene;$664,209
Chuck Hayes;$664,209
Monta Ellis;$664,209
Chris Taft;$664,209
Amir Johnson;$664,209
Dwayne Jones;$664,209
Martynas Andriuskevicius;$664,209
Ryan Gomes;$664,209
Esteban Batista;$664,209
Stanislav Medvedenko;$625,132
Paul Millsap;$625,000
Steve Novak;$600,000
Pavel Podkolzin;$600,000
Arvydas Macijauskas;$500,000
Leon Powe;$432,000
Roger Powell;$412,718
Brian Chase;$412,718
Dee Brown;$412,718
Uros Slokar;$412,718
PJ Tucker;$412,718
Bobby Jones;$412,718
James Augustine;$412,718
Marcus Vinicius;$412,718
Craig Smith;$412,718
David Noel;$412,718
Damir Markota;$412,718
Robert Hite;$412,718
Chris Quinn;$412,718
Tarence Kinsey;$412,718
Alexander Johnson;$412,718
Paul Davis;$412,718
Will Blalock;$412,718
Ivan McFarlin;$412,718
Yakhouba Diawara;$412,718
Jose Juan Barea;$412,718
Pops Mensah-Bonsu;$412,718
Daniel Gibson;$412,718
Ryan Hollins;$412,718
Hassan Adams;$412,718
Allan Ray;$412,718
Cedric Bozeman;$412,718
Jared Reiner;$396,905
Junior Harrington;$390,556
Peter John Ramos;$384,776
Kelenna Azubuike;$301,657
Loren Woods;$300,000
Desmon Farmer;$275,404
Anthony Roberson;$267,111
Justin Williams;$261,724
Stephen Graham;$259,204
Andre Brown;$241,591
Juaquin Hawkins;$215,928
Jeremy Richardson;$176,161
Howard Eisley;$162,660
Steven Smith;$161,061
Andreas Glyniadakis;$161,061
Chris McCray;$161,061
Doug Christie;$158,071
Mike Gansey;$150,000
Zoran Planinic;$150,000
Matt Freije;$145,961
Mike Hall;$135,895
Pat Carroll;$110,000
Alan Anderson;$102,131
Sergey Monya;$100,000
Paul Miller;$100,000
Jimmie Hunter;$100,000
Ndudi Ebi;$90,000
Dijon Thompson;$89,101
Robert Whaley;$83,026
Daniel Horton;$75,000
Jefferson Sobral;$75,000
Vincent Grier;$70,000
Kevin Burleson;$70,000
Luke Schenscher;$55,000
Kevin Pittsnogle;$50,000
Will Conroy;$35,378
Casey Jacobsen;$31,250
Von Wafer;$24,300
Renaldo Major;$20,133
