game,winner,loser
Finals,Los Angeles Lakers,Miami Heat
Conference Finals,Miami Heat,Boston Celtics
Conference Finals,Los Angeles Lakers,Denver Nuggets
Conference Semifinals,Boston Celtics,Toronto Raptors
Conference Semifinals,Miami Heat,Milwaukee Bucks
Conference Semifinals,Denver Nuggets,Los Angeles Clippers
Conference Semifinals,Los Angeles Lakers,Houston Rockets
Conference First Round,Boston Celtics,Philadelphia 76ers
Conference First Round,Miami Heat,Indiana Pacers
Conference First Round,Milwaukee Bucks,Orlando Magic
Conference First Round,Toronto Raptors,Brooklyn Nets
Conference First Round,Denver Nuggets,Utah Jazz
Conference First Round,Houston Rockets,Oklahoma City Thunder
Conference First Round,Los Angeles Clippers,Dallas Mavericks
Conference First Round,Los Angeles Lakers,Portland Trail Blazers
