player,debut_season,contract_length
Cade Cunningham,2022,4
Jalen Green,2022,4
Evan Mobley,2022,4
Scottie Barnes,2022,4
Jalen Suggs,2022,4
Josh Giddey,2022,4
Jonathan Kuminga,2022,4
Franz Wagner,2022,4
Davion Mitchell,2022,4
Ziaire Williams,2022,4
James Bouknight,2022,4
Joshua Primo,2022,4
Chris Duarte,2022,4
Moses Moody,2022,4
Corey Kispert,2022,4
Alperen Sengun,2022,4
Trey Murphy III,2022,4
Tre Mann,2022,4
Kai Jones,2022,4
Jalen Johnson,2022,4
Keon Johnson,2022,4
Isaiah Jackson,2022,4
Leandro Bolmaro,2022,4
Usman Garuba,2022,4
Josh Christopher,2022,4
Quentin Grimes,2022,4
Nah'Shon Hyland,2022,4
Cameron Thomas,2022,4
Jaden Springer,2022,4
Day'Ron Sharpe,2022,4
Santi Aldama,2022,4
Jeremiah Robinson-Earl,2022,4
Isaiah Todd,2022,4
JT Thor,2022,4
Vit Krejci,2022,4
Herb Jones,2022,3
Jason Preston,2022,3
Isaiah Livers,2022,3
Miles McBride,2022,3
Georgios Kalaitzakis,2022,3
Charles Bassey,2022,3
Brandon Boston Jr,2022,3
Marko Simonovic,2022,3
Greg Brown III,2022,3
Jared Butler,2022,2
Ayo Dosunmu,2022,2
Dalano Banton,2022,2
