Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Dallas Mavericks,21,5065,724,1572,.461,184,467,.394,540,1105,.489,431,533,.809,203,603,806,423,149,86,271,422,2063
2,Miami Heat,21,5090,685,1539,.445,124,375,.331,561,1164,.482,454,584,.777,213,649,862,346,153,127,291,404,1948
3,Oklahoma City Thunder,17,4205,600,1355,.443,107,339,.316,493,1016,.485,435,533,.816,222,559,781,300,116,129,262,425,1742
4,Chicago Bulls,16,3865,544,1289,.422,101,307,.329,443,982,.451,291,371,.784,214,483,697,322,117,106,218,340,1480
5,Memphis Grizzlies,13,3245,477,1092,.437,50,157,.318,427,935,.457,278,366,.760,162,398,560,245,104,78,170,307,1282
6,Atlanta Hawks,12,2880,395,910,.434,54,167,.323,341,743,.459,191,263,.726,108,338,446,217,75,60,149,244,1035
7,Los Angeles Lakers,10,2400,347,778,.446,48,166,.289,299,612,.489,190,245,.776,126,283,409,189,69,51,125,206,932
8,Boston Celtics,9,2185,322,692,.465,67,144,.465,255,548,.465,141,181,.779,80,271,351,189,66,38,141,197,852
9,San Antonio Spurs,6,1465,202,463,.436,32,109,.294,170,354,.480,130,171,.760,61,189,250,107,44,35,86,129,566
10,New Orleans Hornets,6,1440,197,431,.457,27,84,.321,170,347,.490,115,155,.742,46,155,201,121,43,18,77,142,536
11,Orlando Magic,6,1440,186,455,.409,37,141,.262,149,314,.475,123,167,.737,71,183,254,87,39,24,77,129,532
12,Portland Trail Blazers,6,1440,199,439,.453,30,100,.300,169,339,.499,101,129,.783,55,171,226,102,34,31,69,125,529
13,Denver Nuggets,5,1200,163,385,.423,34,92,.370,129,293,.440,127,180,.706,37,153,190,88,33,18,61,119,487
14,Indiana Pacers,5,1200,164,401,.409,29,77,.377,135,324,.417,94,122,.770,65,127,192,80,41,28,76,115,451
15,Philadelphia 76ers,5,1200,169,408,.414,32,82,.390,137,326,.420,63,87,.724,53,150,203,102,32,18,53,102,433
16,New York Knicks,4,960,128,332,.386,33,95,.347,95,237,.401,74,99,.747,58,104,162,67,26,27,61,75,363
,League Average,10,2455,344,784,.439,62,181,.341,282,602,.468,202,262,.774,111,301,412,187,71,55,137,218,952
