Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Boston Celtics,26,6240,873,1953,.447,157,437,.359,716,1516,.472,541,691,.783,288,752,1040,559,198,112,333,631,2444
2,Los Angeles Lakers,21,5065,772,1651,.468,146,398,.367,626,1253,.500,461,612,.753,185,646,831,436,151,111,279,489,2151
3,San Antonio Spurs,17,4130,604,1355,.446,128,341,.375,476,1014,.469,263,353,.745,153,557,710,346,90,70,217,383,1599
4,Detroit Pistons,17,4080,576,1266,.455,77,226,.341,499,1040,.480,325,405,.802,180,436,616,349,125,99,220,396,1554
5,Utah Jazz,12,2905,437,982,.445,70,200,.350,367,782,.469,243,324,.750,174,358,532,257,78,69,155,306,1187
6,Cleveland Cavaliers,13,3120,404,963,.420,87,252,.345,317,711,.446,274,380,.721,153,379,532,262,78,63,180,287,1169
7,New Orleans Hornets,12,2880,451,972,.464,69,168,.411,382,804,.475,188,243,.774,123,382,505,231,87,61,106,248,1159
8,Orlando Magic,10,2400,354,754,.469,90,253,.356,264,501,.527,173,243,.712,117,312,429,174,48,49,145,205,971
9,Atlanta Hawks,7,1680,205,499,.411,28,87,.322,177,412,.430,172,220,.782,81,187,268,122,30,40,111,141,610
10,Washington Wizards,6,1440,192,451,.426,36,118,.305,156,333,.468,133,174,.764,58,166,224,94,43,29,74,137,553
11,Houston Rockets,6,1440,193,472,.409,35,120,.292,158,352,.449,107,157,.682,78,174,252,93,41,33,65,127,528
12,Philadelphia 76ers,6,1440,187,448,.417,11,47,.234,176,401,.439,130,180,.722,81,148,229,95,53,22,89,115,515
13,Phoenix Suns,5,1250,190,412,.461,25,74,.338,165,338,.488,97,152,.638,47,161,208,94,26,35,62,113,502
14,Toronto Raptors,5,1200,186,428,.435,42,120,.350,144,308,.468,83,96,.865,49,147,196,120,36,12,50,114,497
15,Dallas Mavericks,5,1200,158,394,.401,36,104,.346,122,290,.421,118,150,.787,72,154,226,97,20,20,58,103,470
16,Denver Nuggets,4,960,151,354,.427,18,72,.250,133,282,.472,86,116,.741,66,129,195,74,25,19,58,102,406
,League Average,11,2589,371,835,.444,66,189,.350,305,646,.472,212,281,.755,119,318,437,213,71,53,138,244,1020
