year,defensive,most_improved,most_valuable,rookie,sixth_man,most_valuable_finals
2023,jacksja02,markkla01,embiijo01,,brogdma01,jokicni01
2022,smartma01,moranja01,jokicni01,,herroty01,curryst01
2021,goberru01,randlju01,jokicni01,,clarkjo01,antetgi01
2020,antetgi01,ingrabr01,antetgi01,,harremo01,jamesle01
2019,goberru01,siakapa01,antetgi01,,willilo02,leonaka01
2018,goberru01,oladivi01,hardeja01,,willilo02,duranke01
2017,greendr01,antetgi01,westbru01,,gordoer01,duranke01
2016,leonaka01,mccolcj01,curryst01,,crawfja01,jamesle01
2015,leonaka01,butleji01,curryst01,,willilo02,iguodan01
2014,noahjo01,dragigo01,duranke01,,crawfja01,leonaka01
2013,gasolma01,georgpa01,jamesle01,,smithjr01,jamesle01
2012,chandty01,anderry01,jamesle01,,hardeja01,jamesle01
2011,howardw01,loveke01,rosede01,,odomla01,nowitdi01
2010,howardw01,brookaa01,jamesle01,,crawfja01,bryanko01
2009,howardw01,grangda01,jamesle01,,terryja01,bryanko01
2008,garneke01,turkohe01,bryanko01,,ginobma01,piercpa01
2007,cambyma01,ellismo01,nowitdi01,,barbole01,parketo01
2006,wallabe01,diawbo01,nashst01,,millemi01,wadedw01
2005,wallabe01,simmobo01,nashst01,,gordobe01,duncati01
2004,artesro01,randoza01,garneke01,,jamisan01,billuch01
2003,wallabe01,arenagi01,duncati01,,jacksbo01,duncati01
2002,wallabe01,onealje01,duncati01,,willico02,onealsh01
2001,mutomdi01,mcgratr01,iversal01,,mckieaa01,onealsh01
