Season,Player,Player-additional
2022-23,Paolo Banchero,banchpa01
2021-22,Scottie Barnes,barnesc01
2020-21,LaMelo Ball,ballla01
2019-20,Ja Morant,moranja01
2018-19,Luka Dončić,doncilu01
2017-18,Ben Simmons,simmobe01
2016-17,Malcolm Brogdon,brogdma01
2015-16,Karl-Anthony Towns,townska01
2014-15,Andrew Wiggins,wiggian01
2013-14,Michael Carter-Williams,cartemi01
2012-13,Damian Lillard,lillada01
2011-12,Kyrie Irving,irvinky01
2010-11,Blake Griffin,griffbl01
2009-10,Tyreke Evans,evansty01
2008-09,Derrick Rose,rosede01
2007-08,Kevin Durant,duranke01
2006-07,Brandon Roy,roybr01
2005-06,Chris Paul,paulch01
2004-05,Emeka Okafor,okafoem01
2003-04,LeBron James,jamesle01
2002-03,Amar'e Stoudemire,stoudam01
2001-02,Pau Gasol,gasolpa01
2000-01,Mike Miller,millemi01
