Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Tariq Abdul-Wahad,SG,28,DAL,8,0,9.9,1.1,3.8,.300,0.0,0.3,.000,1.1,3.5,.321,.300,0.9,1.0,.875,1.4,1.4,2.8,0.9,0.0,0.0,0.1,0.8,3.1,abdulta01
2,Courtney Alexander,PG,25,NOH,5,0,7.8,1.4,3.2,.438,0.2,0.2,1.000,1.2,3.0,.400,.469,0.6,0.8,.750,0.4,0.4,0.8,0.2,0.4,0.0,0.2,1.2,3.6,alexaco02
3,John Amaechi,C,32,UTA,2,0,8.0,0.5,2.0,.250,0.0,0.0,,0.5,2.0,.250,.250,1.0,2.0,.500,0.0,0.5,0.5,0.0,0.0,0.0,0.0,2.0,2.0,amaecjo01
4,Derek Anderson,PG,28,POR,2,2,11.0,0.5,2.0,.250,0.0,0.5,.000,0.5,1.5,.333,.250,0.0,0.5,.000,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,anderde01
5,Kenny Anderson,PG,32,NOH,5,0,10.2,0.8,2.4,.333,0.0,0.0,,0.8,2.4,.333,.333,0.6,0.6,1.000,0.0,0.4,0.4,1.8,0.6,0.0,0.8,1.2,2.2,anderke01
6,Darrell Armstrong,PG,34,ORL,7,1,32.3,2.9,6.3,.455,0.9,2.6,.333,2.0,3.7,.538,.523,2.9,3.1,.909,1.0,1.4,2.4,3.7,0.9,0.0,2.4,3.1,9.4,armstda01
7,Carlos Arroyo,PG,23,UTA,3,0,9.0,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,1.0,1.3,.750,0.7,0.0,0.7,1.7,0.0,0.0,0.0,0.7,3.0,arroyca01
8,Chucky Atkins,PG,28,DET,17,3,18.4,1.9,5.4,.352,1.1,2.9,.367,0.8,2.5,.333,.451,1.2,1.5,.808,0.1,1.1,1.2,1.5,1.0,0.0,1.1,2.3,6.1,atkinch01
9,Stacey Augmon,SG,34,NOH,4,0,17.3,1.3,3.8,.333,0.0,0.0,,1.3,3.8,.333,.333,1.8,2.0,.875,0.3,2.3,2.5,0.8,0.8,0.0,0.8,2.0,4.3,augmost01
10,Jon Barry,SG,33,DET,14,0,12.3,1.6,3.9,.426,1.1,2.4,.455,0.6,1.5,.381,.565,0.6,0.6,1.000,0.4,1.4,1.7,1.4,0.6,0.1,0.5,1.0,5.0,barryjo01
11,Tony Battie,C,26,BOS,10,10,21.3,3.1,5.5,.564,0.0,0.3,.000,3.1,5.2,.596,.564,0.4,0.8,.500,1.3,3.6,4.9,0.5,0.4,1.4,0.7,4.2,6.6,battito01
12,Raja Bell,SG,26,DAL,17,7,17.9,2.4,4.3,.548,0.4,0.8,.462,2.0,3.5,.567,.589,0.6,1.2,.550,0.8,2.2,3.0,1.6,0.3,0.0,0.4,2.4,5.7,bellra01
